Number of nodes,Execution time,Map time,Shuffle1 Time,Reduce1 time,Shuffle2 time,Reduce2 time
30,37093,25381,374940,11009,39019,2782
25,40183,22622,358377,8269,38505,3105
20,45138,22389,347218,8864,36826,3296
15,52140,20911,335728,7824,35189,3381
14,53000,21183,334507,7774,34889,3246
13,56101,21202,332744,6750,34853,3606
12,59065,20338,330708,7090,35134,3764
11,62704,21249,330386,6982,36250,3659
10,67243,20359,329742,6517,35635,3916
9,70366,20395,327698,6572,34013,3911
8,77617,19747,326295,7283,33266,3759
7,82851,19576,325595,6332,32326,3783
6,92022,18332,329911,6444,31889,3719
5,105716,19015,326363,6476,30956,3504
4,124506,18045,324909,6618,29845,3467
3,157892,19540,325895,5879,29194,3555
2,224323,19381,327371,5730,28446,3232
